Position,Athlete,Time,Sex,Year
2,Gudisa Shentema,2:10:43,M,2006
3,Kurao Umeki,2:13:43,M,2006
4,Terefe Yae,2:15:05,M,2006
5,Ahmed Ezzobayry,2:15:29,M,2006
6,Driss El Himer,2:16:44,M,2006
7,Ombeche Mokamba,2:17:34,M,2006
8,Jackson Koech,2:17:42,M,2006
9,Abel Kirui,2:17:47,M,2006
10,Donatien Buzzinggo,2:19:25,M,2006
1,Gete Wami,2:21:34,F,2006
2,Salina Kosgei,2:23:22,F,2006
3,Monika Drybulska,2:30:12,F,2006
4,Asha Gigi,2:32:32,F,2006
5,Márcia Narloch,2:35:28,F,2006
6,Melanie Kraus,2:35:37,F,2006
7,Shitaye Gemechu,2:35:56,F,2006
8,Zekiros Adanech,2:36:48,F,2006
9,Mounia Aboulahcen,2:38:55,F,2006
10,Alem Ashebir,2:41:27,F,2006
1,Haile Gebrselassie,2:04:26,M,2007
2,Abel Kirui,2:06:51,M,2007
3,Salim Kipsang,2:07:29,M,2007
4,Philip Kipkurgat Manyim,2:08:01,M,2007
5,Mesfin Adimasu,2:09:49,M,2007
6,Lee Troop,2:10:31,M,2007
7,Arkadiusz Sowa,2:12:00,M,2007
8,Joseph Kahugu,2:12:08,M,2007
9,Tomohiro Seto,2:12:21,M,2007
10,Ignacio Cáceres,2:12:46,M,2007
1,Gete Wami,2:23:17,F,2007
2,Irina Mikitenko,2:24:51,F,2007
3,Helena Kirop,2:26:27,F,2007
4,Irina Timofeyeva,2:26:54,F,2007
5,Naoko Sakamoto,2:28:33,F,2007
6,Hayley Haining,2:30:43,F,2007
7,Rose Kerubo Nyangacha,2:31:33,F,2007
8,Leonor Carneiro,2:31:41,F,2007
9,Angelina Flueckiger-Joly,2:35:57,F,2007
10,Eva-Maria Gradwohl,2:36:26,F,2007
1,Haile Gebrselassie,2:03:59,M,2008
2,James Kwambai,2:05:36,M,2008
3,Charles Kamathi,2:07:48,M,2008
4,Mariko Kiplagat Kipchumba,2:09:03,M,2008
5,Mesfin Adamasu,2:12:02,M,2008
6,Joseph Ngolepus,2:12:07,M,2008
7,Kenjiro Jitsui,2:12:48,M,2008
8,Toshinari Suwa,2:13:04,M,2008
9,Falk Cierpinski,2:13:30,M,2008
10,Francis Kiprop,2:14:30,M,2008
1,Irina Mikitenko,2:19:19,F,2008
2,Askale Tafa,2:21:31,F,2008
