Position,Athlete,Time,Sex,Year
10,Sumiko Suzuki,2:29:25,F,2012
1,Dennis Kimetto,2:06:50,M,2013
2,Michael Kipyego,2:06:58,M,2013
3,Bernard Kipyego,2:07:53,M,2013
4,Kazuhiro Maeda,2:07:59,M,2013
5,James Kwambai,2:08:02,M,2013
6,Gilbert Kirwa,2:08:17,M,2013
7,Feyisa Bekele,2:09:05,M,2013
8,Dino Sefir,2:09:13,M,2013
9,Takayuki Matsumiya,2:09:14,M,2013
10,Jonathan Maiyo,2:10:18,M,2013
1,Aberu Kebede,2:25:34,F,2013
2,Yeshi Esayias,2:26:01,F,2013
3,Irina Mikitenko,2:26:41,F,2013
4,Albina Mayorova,2:26:51,F,2013
5,Yoshimi Ozaki,2:28:30,F,2013
6,Helalia Johannes,2:29:20,F,2013
7,Mika Yoshikawa,2:30:20,F,2013
8,Nastassia Staravoitava,2:30:45,F,2013
9,Azusa Nojiri,2:31:15,F,2013
10,Hiroko Yoshitomi,2:31:28,F,2013
1,Dickson Chumba,2:05:42,M,2014
2,Tadese Tola,2:05:57,M,2014
3,Sammy Kitwara,2:06:30,M,2014
4,Michael Kipyego,2:06:58,M,2014
5,Peter Kimeli Some,2:07:05,M,2014
6,Geoffrey Kipsang,2:07:37,M,2014
7,Deressa Chimsa,2:07:40,M,2014
8,Kohei Matsumura,2:08:09,M,2014
9,Koji Kobayashi,2:08:51,M,2014
10,Abel Kirui,2:09:04,M,2014
1,Tirfi Tsegaye,2:22:23,F,2014
2,Birhane Dibaba,2:22:30,F,2014
3,Lucy Wangui Kabuu,2:24:16,F,2014
4,Caroline Rotich,2:24:35,F,2014
5,Janet Rono,2:26:03,F,2014
6,Albina Mayorova,2:28:18,F,2014
7,Mai Ito,2:28:36,F,2014
8,Rika Shintaku,2:31:15,F,2014
9,Manami Kamitanida,2:31:34,F,2014
10,Hiroko Yoshitomi,2:32:38,F,2014
1,Endeshaw Negesse,2:06:00,M,2015
2,Stephen Kiprotich,2:06:33,M,2015
3,Dickson Chumba,2:06:34,M,2015
4,Shumi Dechasa,2:07:20,M,2015
5,Peter Some,2:07:22,M,2015
6,Markos Geneti,2:07:25,M,2015
7,Masato Imai,2:07:39,M,2015
8,Tsegaye Kebede,2:07:58,M,2015
9,Hiroaki Sano,2:09:12,M,2015
10,Benjamin Ngandu,2:09:19,M,2015
1,Birhane Dibaba,2:23:15,F,2015
2,Helah Kiprop,2:24:03,F,2015
3,Tiki Gelana,2:24:26,F,2015
4,Sally Chepyego Kaptich,2:26:43,F,2015
5,Flomena Cheyech Daniel,2:26:54,F,2015
6,Yeshi Esayias,2:30:15,F,2015
7,Madoka Ogi,2:30:25,F,2015
8,Albina Mayorova,2:34:21,F,2015
9,Yukari Abe,2:34:43,F,2015
10,Yumiko Kinoshita,2:35:49,F,2015
1,Feyisa Lilesa,2:06:56,M,2016
2,Bernard Kipyego,2:07:33,M,2016
3,Dickson Chumba,2:07:34,M,2016
4,Stephen Kiprotich,2:07:46,M,2016
5,Abel Kirui,2:08:06,M,2016
6,Eliud Kiptanui,2:08:55,M,2016
7,Emmanuel Kipchirchir Mutai,2:10:23,M,2016
8,Yuki Takamiya,2:10:57,M,2016
