Position,Athlete,Time,Sex,Year
5,Rodgers Rop,2:11:24,M,2006
6,Stefano Baldini,2:11:33,M,2006
7,William Kipsang,2:11:54,M,2006
8,Hailu Negussie,2:12:12,M,2006
9,Hendrick Ramaala,2:13:04,M,2006
10,Peter Gilmore,2:13:13,M,2006
11,Dathan Ritzenhein,2:14:01,M,2006
12,Tom Nyariki,2:15:58,M,2006
13,Elias Kemboi,2:16:33,M,2006
14,Simon Wangai,2:16:59,M,2006
15,Francisco Bautista,2:17:30,M,2006
16,Joe Driscoll,2:18:40,M,2006
17,Kassahun Kabiso,2:19:04,M,2006
18,Andrew Letherby,2:19:53,M,2006
19,Matthew Gabrielson,2:19:53,M,2006
20,Meb Keflezighi,2:22:02,M,2006
1,Martin Lel,2:09:04,M,2007
2,Abderrahim Goumri,2:09:16,M,2007
3,Hendrick Ramaala,2:11:25,M,2007
4,Stefano Baldini,2:11:58,M,2007
5,James Kwambai,2:12:25,M,2007
6,Ruggero Pertile,2:13:01,M,2007
7,Stephen Kiogora,2:13:41,M,2007
8,Marílson Gomes dos Santos,2:13:47,M,2007
9,Oleksandr Kuzin,2:14:01,M,2007
10,William Kipsang,2:15:32,M,2007
11,Elias Kemboi,2:17:26,M,2007
12,Rodgers Rop,2:18:10,M,2007
13,Demesse Tefera,2:19:33,M,2007
14,Genna Tufa,2:20:15,M,2007
15,Francisco Bautista,2:21:15,M,2007
16,Joseph Chirlee,2:23:01,M,2007
17,Bruce Deacon,2:24:19,M,2007
18,Kassahun Kabiso,2:25:05,M,2007
19,Worku Beyi,2:25:56,M,2007
20,Valerio Brignone,2:26:05,M,2007
1,Marílson Gomes dos Santos,2:08:43,M,2008
2,Abderrahim Goumri,2:09:07,M,2008
3,Daniel Rono,2:11:22,M,2008
4,Paul Tergat,2:13:10,M,2008
5,Abderrahime Bouramdane,2:13:33,M,2008
6,Abdihakem Abdirahman,2:14:17,M,2008
7,Josh Rohatinsky,2:14:23,M,2008
8,Jason Lehmkuhle,2:14:30,M,2008
9,Hosea Rotich,2:15:26,M,2008
10,Bolota Asmerom,2:16:37,M,2008
11,Luke Humphrey,2:18:38,M,2008
12,Hendrick Ramaala,2:19:11,M,2008
13,Mohammed Awol,2:19:13,M,2008
14,Kassahun Kabiso,2:19:54,M,2008
15,Jacob Frey,2:20:17,M,2008
16,Genna Tufa,2:20:23,M,2008
17,Kyle Shackleton,2:20:38,M,2008
18,Teklu Deneke,2:20:47,M,2008
19,Boaz Cheboiywo,2:21:40,M,2008
20,Deresse Deniboba,2:21:54,M,2008
1,Meb Keflezighi,2:09:15,M,2009
2,Robert Kipkoech Cheruiyot,2:09:56,M,2009
3,Jaouad Gharib,2:10:25,M,2009
4,Ryan Hall,2:10:36,M,2009
5,Abderrahime Bouramdane,2:12:14,M,2009
6,Hendrick Ramaala,2:12:30,M,2009
7,Jorge Torres,2:13:00,M,2009
8,Nicholas Arciniaga,2:13:46,M,2009
9,Abdihakem Abdirahman,2:14:00,M,2009
10,Jason Lehmkuhle,2:14:39,M,2009
11,Jackson Kipkoech,2:15:10,M,2009
12,Peter Gilmore,2:15:22,M,2009
13,Migidio Bourifa,2:16:01,M,2009
14,Mikhail Sayenko,2:16:38,M,2009
15,Michael Reneau,2:16:45,M,2009
16,Jose Telles,2:17:28,M,2009
17,Allen Wagner,2:17:49,M,2009
18,Max King,2:19:11,M,2009
19,Mohammed Awol,2:19:31,M,2009
20,Christopher Raabe,2:19:49,M,2009
1,Gebregziabher Gebremariam,2:08:14,M,2010
2,Emmanuel Kipchirchir Mutai,2:09:18,M,2010
3,Moses Kigen Kipkosgei,2:10:39,M,2010
4,James Kwambai,2:11:31,M,2010
5,Meb Keflezighi,2:11:38,M,2010
6,Marílson Gomes dos Santos,2:11:51,M,2010
7,Dathan Ritzenhein,2:12:33,M,2010
8,Abel Kirui,2:13:01,M,2010
9,Abderrahime Bouramdane,2:14:07,M,2010
10,Jorge Torres,2:14:57,M,2010
11,Peter Kamais,2:14:58,M,2010
12,Tim Nelson,2:15:06,M,2010
13,Abdelkabir Saji,2:16:35,M,2010
14,Dereje Hailegeorgis,2:19:10,M,2010
15,Teklu Deneke,2:19:23,M,2010
16,Matthew Downin,2:20:41,M,2010
17,Fikadu Lemma,2:20:47,M,2010
18,Bazu Worku,2:22:17,M,2010
19,Filippo Lo Piccolo,2:23:10,M,2010
20,Odilon Cuautle,2:24:03,M,2010
1,Geoffrey Mutai,2:05:06,M,2011
2,Emmanuel Kipchirchir Mutai,2:06:28,M,2011
3,Tsegaye Kebede,2:07:14,M,2011
4,Gebregziabher Gebremariam,2:08:00,M,2011
5,Jaouad Gharib,2:08:26,M,2011
6,Meb Keflezighi,2:09:13,M,2011
7,Abdellah Falil,2:10:35,M,2011
8,Mathew Kisorio,2:10:58,M,2011
9,Ed Moran,2:11:47,M,2011
10,Viktor Röthlin,2:12:26,M,2011
11,Abdelkabir Saji,2:13:47,M,2011
12,Juan Luis Barrios,2:14:10,M,2011
13,Teklu Deneke,2:16:20,M,2011
14,Bobby Curtis,2:16:44,M,2011
15,Tesfaye Assefa,2:19:24,M,2011
16,Abdelaziz Atmani,2:19:36,M,2011
17,Bazu Worku,2:20:22,M,2011
18,Fikadu Lemma,2:20:41,M,2011
19,Rens Dekkers,2:22:48,M,2011
20,John Beattie,2:23:43,M,2011
1,Geoffrey Mutai,2:08:24,M,2013
2,Tsegaye Kebede,2:09:15,M,2013
3,Lusapho April,2:09:45,M,2013
4,Julius Arile,2:10:03,M,2013
5,Stanley Biwott,2:10:41,M,2013
6,Masato Imai,2:10:45,M,2013
7,Jackson Kiprop,2:10:56,M,2013
8,Peter Cheruiyot Kirui,2:11:23,M,2013
9,Wesley Korir,2:11:34,M,2013
10,Daniele Meucci,2:12:03,M,2013
11,Yuki Kawauchi,2:12:29,M,2013
12,Stephen Kiprotich,2:13:05,M,2013
13,Ryan Vail,2:13:23,M,2013
14,Jeffrey Eggleston,2:16:35,M,2013
15,Bouabdellah Tahri,2:18:16,M,2013
16,Khalid En Guady,2:22:03,M,2013
17,Radosław Dudycz,2:22:07,M,2013
18,Junior Jovadir,2:22:35,M,2013
19,Tesfaye Assefa,2:22:38,M,2013
20,Christian Thompson,2:22:48,M,2013
1,Wilson Kipsang Kiprotich,2:10:59,M,2014
2,Lelisa Desisa,2:11:06,M,2014
3,Gebregziabher Gebremariam,2:12:13,M,2014
4,Meb Keflezighi,2:13:18,M,2014
5,Stephen Kiprotich,2:13:25,M,2014
6,Geoffrey Mutai,2:13:44,M,2014
7,Masato Imai,2:14:36,M,2014
8,Peter Cheruiyot Kirui,2:14:51,M,2014
9,Ryan Vail,2:15:08,M,2014
10,Nicholas Arciniaga,2:15:39,M,2014
11,Yuki Kawauchi,2:16:41,M,2014
12,Lusapho April,2:16:50,M,2014
13,Birhanu Dare,2:18:24,M,2014
14,Micah Kogo,2:18:36,M,2014
15,Danilo Goffi,2:19:44,M,2014
16,Stephen Shay,2:19:47,M,2014
17,Michael Kipyego,2:20:00,M,2014
18,Abebe Negash,2:20:15,M,2014
19,Harbert Okuti,2:22:34,M,2014
20,Aron Rono,2:23:30,M,2014
1,Stanley Biwott,2:10:34,M,2015
2,Geoffrey Kamworor,2:10:48,M,2015
3,Lelisa Desisa,2:12:10,M,2015
4,Wilson Kipsang Kiprotich,2:12:45,M,2015
5,Yemane Tsegay,2:13:24,M,2015
6,Yuki Kawauchi,2:13:29,M,2015
7,Meb Keflezighi,2:13:32,M,2015
8,Craig Leon,2:15:16,M,2015
9,Birhanu Dare,2:15:40,M,2015
10,Kevin Chelimo,2:15:49,M,2015
11,Andrea Lalli,2:17:12,M,2015
12,Juan Luis Barrios,2:18:06,M,2015
13,Diriba Yigezu,2:19:22,M,2015
14,Abebe Negash,2:20:30,M,2015
15,Tim Chichester,2:21:27,M,2015
16,Nicholas Arciniaga,2:22:07,M,2015
17,Khalid En Guady,2:23:13,M,2015
18,Carmine Buccilli,2:23:48,M,2015
19,Abu Diriba,2:24:30,M,2015
20,Kojo Kyereme,2:26:17,M,2015
1,Ghirmay Ghebreslassie,2:07:51,M,2016
2,Lucas Rotich,2:08:53,M,2016
3,Abdihakem Abdirahman,2:11:23,M,2016
4,Hiroyuki Yamamoto,2:11:49,M,2016
5,Shadrack Kiptoo Biwott,2:12:01,M,2016
6,Tadesse Yae Dabi,2:13:06,M,2016
7,Moses Ndiema Kipsiro,2:14:18,M,2016
8,Tyler Pennell,2:15:09,M,2016
9,Benjamin Payne,2:15:46,M,2016
10,Patrick Smyth,2:16:34,M,2016
11,Craig Leon,2:17:14,M,2016
12,Bado Musa Ido,2:17:57,M,2016
13,Christo Landry,2:19:14,M,2016
14,Brendan Martin,2:19:34,M,2016
15,Guteta Senbeto,2:20:01,M,2016
16,Mariano Mastromarino,2:20:08,M,2016
17,Matthew Llano,2:20:15,M,2016
18,Worknesh Seyoum,2:20:54,M,2016
19,Timothy Ritchie,2:21:09,M,2016
20,Harbert Okuti,2:21:27,M,2016
1,Geoffrey Kamworor,2:10:53,M,2017
2,Wilson Kipsang Kiprotich,2:10:56,M,2017
3,Lelisa Desisa,2:11:32,M,2017
