Position,Athlete,Time,Sex,Year
12,Samia Akbar,2:34:14,F,2006
13,Claudia-Mariela Nero,2:35:04,F,2006
14,Sonia O'Sullivan†,2:42:05,F,2006
15,Magdalena Boulet,2:42:38,F,2006
16,Viktoriya Ganushina,2:42:50,F,2006
17,Michelle LaFleur,2:44:09,F,2006
18,Leteyesus Berhe,2:45:05,F,2006
19,Nathalie Vasseur,2:45:15,F,2006
20,Nikole Johns,2:45:58,F,2006
1,Paula Radcliffe,2:23:09,F,2007
2,Gete Wami,2:23:32,F,2007
3,Jeļena Prokopčuka,2:26:12,F,2007
4,Lidiya Grigoryeva,2:28:36,F,2007
5,Catherine Ndereba,2:29:08,F,2007
6,Elva Dryer,2:35:15,F,2007
7,Robyn Friedman,2:39:19,F,2007
8,Tegla Loroupe,2:41:58,F,2007
9,Melisa Christian,2:42:07,F,2007
10,Alvina Begay,2:42:46,F,2007
11,Christine Lundy,2:43:21,F,2007
12,Veena Reddy,2:43:26,F,2007
13,Caitlin Tormey,2:43:30,F,2007
14,Erin Moeller,2:43:57,F,2007
15,Nathalie Vasseur,2:44:00,F,2007
16,Sopagna Eap,2:44:37,F,2007
17,Atalelech Ketema,2:45:04,F,2007
18,Viktoriya Ganushina,2:45:15,F,2007
19,Heather Frisone,2:45:56,F,2007
20,Kristine Spence,2:47:00,F,2007
1,Paula Radcliffe,2:23:56,F,2008
2,Lyudmila Petrova,2:25:43,F,2008
3,Kara Goucher,2:25:53,F,2008
4,Rita Jeptoo,2:27:49,F,2008
5,Catherine Ndereba,2:29:14,F,2008
6,Gete Wami,2:29:25,F,2008
7,Dire Tune,2:29:28,F,2008
8,Lidia Șimon,2:30:04,F,2008
9,Lyubov Morgunova,2:30:38,F,2008
10,Katie McGregor,2:31:14,F,2008
11,Magdalena Boulet,2:33:56,F,2008
12,Hayley Haining,2:35:11,F,2008
13,Lucy MacAlister,2:39:25,F,2008
14,Sally Meyerhoff,2:40:57,F,2008
15,Ilsa Paulson,2:41:17,F,2008
16,Robyn Friedman,2:41:21,F,2008
17,Melisa Christian,2:42:33,F,2008
18,Katarina Janosiková,2:42:57,F,2008
19,Sopagna Eap,2:43:29,F,2008
20,Viktoriya Ganushina,2:43:55,F,2008
1,Derartu Tulu,2:28:52,F,2009
2,Lyudmila Petrova,2:29:00,F,2009
3,Christelle Daunay,2:29:16,F,2009
4,Paula Radcliffe,2:29:27,F,2009
5,Salina Kosgei,2:31:53,F,2009
6,Magdalena Boulet,2:32:17,F,2009
7,Bizunesh Deba,2:35:54,F,2009
8,Serkalem Biset,2:37:20,F,2009
9,Yuri Kanō,2:39:05,F,2009
10,Desiree Ficker,2:39:30,F,2009
11,Catharine Mullen,2:43:13,F,2009
12,Christine Ramsey,2:44:37,F,2009
13,Heidi Westover,2:44:59,F,2009
14,Sopagna Eap,2:45:15,F,2009
15,Hirut Mengistu,2:47:03,F,2009
16,Therese Hagersjo†,2:49:02,F,2009
17,Joan Samuelson†,2:49:09,F,2009
18,Lisa Hütthaler†,2:49:33,F,2009
19,Michelle Cope,2:49:48,F,2009
20,Caroline Almon†,2:51:47,F,2009
1,Edna Kiplagat,2:28:20,F,2010
2,Shalane Flanagan,2:28:40,F,2010
3,Mary Jepkosgei Keitany,2:29:01,F,2010
4,Kim Smith,2:29:28,F,2010
5,Christelle Daunay,2:29:29,F,2010
6,Lyudmila Petrova,2:29:41,F,2010
7,Caroline Rotich,2:29:46,F,2010
8,Madaí Pérez,2:29:53,F,2010
9,Bizunesh Deba,2:29:55,F,2010
10,Katie McGregor,2:31:01,F,2010
11,Teyba Erkesso,2:31:06,F,2010
12,Mara Yamauchi,2:31:38,F,2010
13,Derartu Tulu,2:32:46,F,2010
14,Tatyana Pushkareva,2:34:05,F,2010
15,Salina Kosgei,2:34:14,F,2010
16,Kathy Newberry,2:35:23,F,2010
17,Claire Hallissey,2:36:13,F,2010
18,Serena Burla,2:37:06,F,2010
19,Alissa McKaig,2:37:29,F,2010
20,Misiker Mekonen,2:37:39,F,2010
1,Firehiwot Dado,2:23:15,F,2011
2,Bizunesh Deba,2:23:19,F,2011
3,Mary Jepkosgei Keitany,2:23:38,F,2011
4,Ana Dulce Félix,2:25:40,F,2011
5,Kim Smith,2:25:46,F,2011
6,Caroline Kilel,2:25:57,F,2011
7,Caroline Rotich,2:27:06,F,2011
8,Isabellah Andersson,2:28:29,F,2011
9,Jo Pavey,2:28:42,F,2011
10,Galina Bogomolova,2:29:03,F,2011
11,Misiker Mekonen,2:31:40,F,2011
12,Molly Pritz,2:31:52,F,2011
13,Werknesh Kidane,2:33:08,F,2011
14,Alessandra Aguilar,2:33:08,F,2011
15,Serkalem Biset,2:33:22,F,2011
16,Lauren Fleshman,2:37:22,F,2011
17,Aziza Aliyu,2:38:32,F,2011
18,Camille Herron,2:40:06,F,2011
19,Jennifer Houck,2:41:00,F,2011
20,Diane Nukuri,2:41:21,F,2011
1,Priscah Jeptoo,2:25:07,F,2013
2,Bizunesh Deba,2:25:56,F,2013
3,Jeļena Prokopčuka,2:27:47,F,2013
4,Christelle Daunay,2:28:14,F,2013
5,Valeria Straneo,2:28:22,F,2013
6,Kim Smith,2:28:49,F,2013
7,Sabrina Mockenhaupt,2:29:10,F,2013
8,Tigist Tufa,2:29:24,F,2013
9,Edna Kiplagat,2:30:04,F,2013
10,Diane Nukuri,2:30:09,F,2013
11,Risa Shigetomo,2:31:54,F,2013
12,Lisa Nemec,2:34:49,F,2013
13,Adriana Nelson,2:35:05,F,2013
14,Firehiwot Dado,2:38:06,F,2013
15,Kathleen DiCamillo,2:40:03,F,2013
16,Aziza Aliyu,2:40:27,F,2013
17,Vera Monica Nunes†,2:41:16,F,2013
18,Mattie Suver,2:41:18,F,2013
19,Yolanda Caballero,2:41:23,F,2013
20,Amy Cragg,2:42:50,F,2013
1,Mary Jepkosgei Keitany,2:25:07,F,2014
2,Jemima Sumgong,2:25:10,F,2014
3,Sara Moreira,2:26:00,F,2014
4,Jeļena Prokopčuka,2:26:15,F,2014
5,Desiree Linden,2:28:11,F,2014
6,Firehiwot Dado,2:28:36,F,2014
7,Valeria Straneo,2:29:24,F,2014
8,Bizunesh Deba,2:31:40,F,2014
9,Annie Bersagel,2:33:02,F,2014
10,Deena Kastor,2:33:18,F,2014
11,Ana Dulce Félix,2:35:33,F,2014
12,Edna Kiplagat,2:36:24,F,2014
13,Kara Goucher,2:37:03,F,2014
14,Lauren Kleppin,2:39:13,F,2014
15,Alia Gray,2:39:43,F,2014
16,Marcella Klimek,2:40:00,F,2014
17,Hilary Dionne,2:40:54,F,2014
18,Rocío Cantará,2:45:30,F,2014
19,Kate Pallardy,2:45:46,F,2014
20,Katie Conlon†,2:48:40,F,2014
1,Mary Jepkosgei Keitany,2:24:25,F,2015
2,Aselefech Mergia,2:25:32,F,2015
3,Tigist Tufa,2:25:50,F,2015
4,Sara Moreira,2:25:53,F,2015
5,Christelle Daunay,2:26:57,F,2015
6,Priscah Jeptoo,2:27:03,F,2015
7,Laura Thweatt,2:28:23,F,2015
8,Jeļena Prokopčuka,2:28:46,F,2015
9,Anna Incerti,2:33:13,F,2015
10,Caroline Rotich,2:33:19,F,2015
11,Rocío Cántara†,2:37:05,F,2015
12,Cassie Fien,2:38:53,F,2015
13,Teresa McWalters,2:40:37,F,2015
14,Marisol Romero,2:41:50,F,2015
15,Beverly Ramos,2:41:56,F,2015
16,Emma Nordling†,2:43:29,F,2015
17,Ding Changqin,2:44:02,F,2015
18,Caroline Wöstmann,2:44:26,F,2015
19,Hilary Corno,2:45:53,F,2015
20,Roberta Groner†,2:45:54,F,2015
1,Mary Jepkosgei Keitany,2:24:26,F,2016
2,Sally Kipyego,2:28:01,F,2016
3,Molly Huddle,2:28:13,F,2016
4,Joyce Chepkirui,2:29:08,F,2016
5,Diane Nukuri,2:33:04,F,2016
6,Aselefech Mergia,2:33:28,F,2016
7,Lanni Marchant,2:33:50,F,2016
8,Neely Spence Gracey,2:34:55,F,2016
9,Sara Hall,2:36:12,F,2016
10,Ayantu Dakebo Hailemaryam,2:37:07,F,2016
11,Esther Atkins,2:37:11,F,2016
12,Dorothy McMahon,2:38:46,F,2016
13,Kellys Arias,2:39:14,F,2016
14,Gwen Jorgensen,2:41:01,F,2016
15,Laura Manninen,2:41:08,F,2016
16,Kimberly Conley,2:41:38,F,2016
17,Kelly Calway†,2:42:39,F,2016
18,Emma Nordling,2:45:22,F,2016
19,Hilary Dionne,2:45:31,F,2016
20,Samantha Roecker,2:45:34,F,2016
1,Shalane Flanagan,2:26:53,F,2017
2,Mary Jepkosgei Keitany,2:27:54,F,2017
3,Mamitu Daska,2:28:08,F,2017
4,Edna Kiplagat,2:29:36,F,2017
5,Allie Kieffer,2:29:39,F,2017
6,Sara Dossena,2:29:39,F,2017
7,Eva Vrabcová-Nývltová,2:29:41,F,2017
8,Kellyn Taylor,2:29:56,F,2017
9,Diane Nukuri,2:31:21,F,2017
10,Stephanie Bruce,2:31:44,F,2017
11,Bizunesh Deba,2:32:01,F,2017
12,Christelle Daunay,2:32:09,F,2017
13,Aliphine Tuliamuk,2:33:18,F,2017
14,Emma Quaglia,2:34:10,F,2017
15,Serkalem Biset,2:34:23,F,2017
16,Askale Merachi,2:36:38,F,2017
17,Adriana Aparecida da Silva,2:37:22,F,2017
18,Jéssica Augusto,2:37:33,F,2017
19,Belaynesh Fikadu,2:39:01,F,2017
20,Lauren Knowles,2:40:09,F,2017
1,Mary Keitany,2:22:48,F,2018
2,Vivian Cheruiyot,2:26:02,F,2018
3,Shalane Flanagan,2:26:22,F,2018
4,Molly Huddle,2:26:44,F,2018
5,Rahma Tusa,2:27:13,F,2018
6,Desiree Linden,2:27:51,F,2018
7,Allie Kieffer,2:28:12,F,2018
8,Lisa Weightman,2:29:11,F,2018
9,Mamitu Daska,2:30:31,F,2018
10,Belaynesh Fikadu,2:30:47,F,2018
11,Stephanie Bruce,2:30:59,F,2018
12,Roberta Groner,2:31:01,F,2018
13,Gerda Steyn,2:31:04,F,2018
14,Carrie Dimoff,2:31:12,F,2018
15,Samantha Bluske,2:32:04,F,2018
16,Sydney Devore,2:32:43,F,2018
17,Brittany Charboneau,2:36:35,F,2018
18,Sarah Sellers,2:36:37,F,2018
19,Eva Almkvist,2:36:48,F,2018
20,Lydia O'Donnell,2:40:52,F,2018
1,Joyciline Jepkosgei,2:22:38,F,2019
2,Mary Keitany,2:23:32,F,2019
3,Ruti Aga,2:25:51,F,2019
4,Nancy Kiprop,2:26:21,F,2019
5,Sinead Diver,2:26:23,F,2019
6,Desiree Linden,2:26:46,F,2019
7,Kellyn Taylor,2:26:52,F,2019
8,Ellie Pashley,2:27:07,F,2019
9,Belaynesh Fikadu,2:27:27,F,2019
10,Mary Ngugi,2:27:36,F,2019
11,Gerda Steyn,2:27:48,F,2019
12,Aliphine Tuliamuk,2:28:12,F,2019
13,Roberta Groner,2:30:12,F,2019
14,Katy Jermann,2:31:55,F,2019
15,Kate Landau,2:33:04,F,2019
16,Yinli He,2:34:43,F,2019
17,Danna Herrick,2:36:00,F,2019
18,Rebecca Gentry,2:37:01,F,2019
19,Alia Gray,2:37:09,F,2019
20,Bizuwork Getahun Kasaye,2:37:38,F,2019
1,Peres Jepchirchir,2:22:39,F,2021
2,Viola Cheptoo,2:22:44,F,2021
3,Ababel Yeshaneh,2:22:52,F,2021
4,Molly Seidel,2:24:42,F,2021
5,Helalia Johannes,2:26:09,F,2021
6,Kellyn Taylor,2:26:10,F,2021
7,Annie Frisbie,2:26:18,F,2021
8,Laura Thweatt,2:27:00,F,2021
9,Grace Kahura,2:30:32,F,2021
10,Stephanie Bruce,2:31:05,F,2021
11,Lanni Marchant,2:32:54,F,2021
12,Shalane Flanagan,2:33:32,F,2021
13,Haruka Yamaguchi,2:34:04,F,2021
14,Andrea Ramirez Limon,2:34:51,F,2021
15,Hanna Lindholm,2:35:54,F,2021
16,Obsie Birru,2:38:54,F,2021
17,Rachel Hannah,2:39:15,F,2021
18,Beverly Ramos,2:39:22,F,2021
19,Joanna Thompson,2:39:47,F,2021
20,Makenna Myler,2:40:45,F,2021
1,Sharon Lokedi,2:23:23,F,2022
2,Lonah Chemtai Salpeter,2:23:30,F,2022
3,Gotytom Gebreslase,2:23:39,F,2022
4,Edna Kiplagat,2:24:16,F,2022
5,Viola Cheptoo,2:25:34,F,2022
6,Hellen Obiri,2:25:49,F,2022
7,Aliphine Tuliamuk,2:26:18,F,2022
8,Emma Bates,2:26:53,F,2022
9,Jessica Stenson,2:27:27,F,2022
10,Nell Rojas,2:28:32,F,2022
11,Lindsay Flanagan,2:29:28,F,2022
12,Gerda Steyn,2:30:22,F,2022
13,Stephanie Bruce,2:30:34,F,2022
14,Caroline Rotich,2:30:59,F,2022
15,Keira D'Amato,2:31:31,F,2022
16,Desiree Linden,2:32:37,F,2022
17,Mao Uesugi,2:32:56,F,2022
18,Eloise Wellings,2:34:50,F,2022
19,Sarah Pagano,2:35:03,F,2022
20,Grace Kahura,2:35:32,F,2022
1,Hellen Obiri,2:27:23,F,2023
2,Letesenbet Gidey,2:27:29,F,2023
3,Sharon Lokedi,2:27:33,F,2023
4,Brigid Kosgei,2:27:45,F,2023
5,Mary Ngugi,2:27:53,F,2023
6,Viola Cheptoo,2:28:11,F,2023
7,Edna Kiplagat,2:29:40,F,2023
8,Kellyn Taylor,2:29:48,F,2023
9,Molly Huddle,2:32:02,F,2023
10,Fantu Zewude Jifar,2:34:10,F,2023
11,Solange Jesus,2:34:37,F,2023
12,Sydney Devore,2:36:01,F,2023
13,Marie-Ange Brumelot,2:40:22,F,2023
14,Ivana Iozzia,2:41:16,F,2023
15,Meriah Earle,2:44:11,F,2023
16,Joelle Flueck,2:45:40,F,2023
17,Kate Gustafson,2:46:15,F,2023
18,Laurie Knowles,2:47:02,F,2023
19,Astrid Roberts,2:47:05,F,2023
20,Francoise Parage,2:47:36,F,2023
1,Sheila Chepkirui,2:24:35,F,2024
2,Hellen Obiri,2:24:49,F,2024
3,Vivian Cheruiyot,2:25:21,F,2024
4,Eunice Chumba,2:25:58,F,2024
5,Fabienne Schlumpf,2:26:31,F,2024
6,Sara Vaughn,2:26:56,F,2024
7,Senbere Teferi,2:27:14,F,2024
8,Jessica McClain,2:27:19,F,2024
9,Sharon Lokedi,2:27:45,F,2024
10,Kellyn Taylor,2:27:59,F,2024
11,Des Linden,2:29:32,F,2024
12,Edna Kiplagat,2:29:56,F,2024
13,Tristin Colley,2:30:02,F,2024
14,Maggie Montoya,2:30:53,F,2024
15,Lily Partridge,2:30:55,F,2024
16,Savannah Berry,2:31:39,F,2024
17,Dakotah Popehn,2:31:45,F,2024
18,Jenny Simpson,2:31:54,F,2024
19,Aliphine Tuliamuk,2:32:10,F,2024
20,Jessa Hanson,2:32:43,F,2024
1,Hellen Obiri,2:19:51,F,2025
2,Sharon Lokedi,2:20:07,F,2025
3,Sheila Chepkirui,2:20:24,F,2025
4,Fiona O'Keeffe,2:22:49,F,2025
5,Annie Frisbie,2:24:12,F,2025
6,Sifan Hassan,2:24:43,F,2025
7,Jessica Warner-Judd,2:24:45,F,2025
8,Emily Sisson,2:25:05,F,2025
9,Amanda Vestri,2:25:40,F,2025
10,Fionnuala McCormack,2:27:00,F,2025
11,Susanna Sullivan,2:28:34,F,2025
12,Elena Hayday,2:31:22,F,2025
13,Stephanie Bruce,2:33:26,F,2025
14,Felicia Pasadyn,2:35:17,F,2025
15,Abigail Shoemaker,2:37:47,F,2025
16,Sarah Chandler,2:39:50,F,2025
17,Bit Klecker,2:40:44,F,2025
18,Marlei Willers,2:41:58,F,2025
19,Rebecca Mehra,2:42:49,F,2025
20,Alex Wang,2:43:19,F,2025
